,#,Price,Details,,,,
CHERRY MX,33,$5.63,Any would work,https://www.amazon.ca/Mechanical-Keyboard-Switches-Compatible-Replaceable/dp/B0GT96R2XL/ref=asc_df_B0GT96R2XL?mcid=1e8e581a41663e16ad77774ace960530&tag=googleshopc0c-20&linkCode=df0&hvadid=796329561522&hvpos=&hvnetw=g&hvrand=8081599212622179037&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9189911&hvtargid=pla-2476978726744&psc=1&hvocijid=8081599212622179037-B0GT96R2XL-&hvexpln=0&gad_source=1,,,
Diodes,33,$3.65,1N4148,https://www.amazon.ca/Switching-Electronic-Conponents-Assortment-Practical/dp/B0GJL8PR9D/ref=asc_df_B0GJL8PR9D?mcid=39f8e7bbd2483fcf9d79060650f3ffad&tag=googleshopc0c-20&linkCode=df0&hvadid=743733060456&hvpos=&hvnetw=g&hvrand=13283950883586817553&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9189911&hvtargid=pla-2486546989144&psc=1&hvocijid=13283950883586817553-B0GJL8PR9D-&hvexpln=0&gad_source=4,,,
Push Button,1,$1.95,6mm,https://www.amazon.ca/Yevison-Tactile-Momentary-Button-Creative/dp/B0816XTT2P/ref=asc_df_B0816XTT2P?mcid=db8e639df170339c9f156a867b8212c3&tag=googleshopc0c-20&linkCode=df0&hvadid=706828873568&hvpos=&hvnetw=g&hvrand=14187404743138754981&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9189911&hvtargid=pla-2367270563173&psc=1&hvocijid=14187404743138754981-B0816XTT2P-&hvexpln=0&gad_source=4,,,
Raspberry Pi Pico,1,$6.85,https://www.amazon.ca/CorpShadow-RPIPICO-Raspberry-Pi-Pico/dp/B09YJ34CK3/ref=sr_1_23?dib=eyJ2IjoiMSJ9.5mhPZR5yQqSy-qDNed5sq0dyqqjNMrdP4zl5CLoKG-amWBV_E9K2tUvAJxgTQ3XlomuKDVFO_TQXo-g9tnZfaOdtRrKbOzeRn7WDClMo1QdF9bfwWBzFYSbWvaNG5hPXDwwyHpyPlGTCWSxCggLLASBNrh-IEfynWA3sQmLNM0mYeMFErsvj6phb_T7SPo-4jkNqM_XAkCji9DEgVnolPqW4YUO_zY5Vffj5W8Gqv9OX3YIqTpfH06QgRi3qwJ8E-BUA7tmzpSe8LPshzDDagPe3ERux12t27fY4uUHzrZE.jcNCVNYkAuQNcA-MvZyn5YHSVRBR3RJimjXOBJafYN8&dib_tag=se&keywords=raspberry+pi+pico&qid=1782464047&sr=8-23,,,,
OLED Display,1,$4.94,0.91 Inch White OLED Display Module I2C Interface,,,,https://www.amazon.ca/Serial-Display-Module-128X64-SSD1306/dp/B08F7M2RZ9/ref=sr_1_8?crid=1YF4KQJF32AZ0&dib=eyJ2IjoiMSJ9.n_yBFnsirjfPd-iYLVq0fX0bCXy0sxsR7Lmub5pl0I9c-KEIYLGrx1RTbLwIcqPbanqq2xChtWKfk2oIsC6Kz-BLZaNbZZb6VIN4WKAE2kH5YFmciUgfUfZJ6OaIcEuVYX_-zuoRNpau8OUmzmbBKkMOfpCiNb0Q_tb5kNDJM41QG_tq6S4oEK2fiR11h1A9b10Qo0v6Op9E_5oygUN7gHDfmAj8EqPHsWnvGtdsWyF6yaXcI8iWAk0CBKYLZ-hne0AeXhu55ZbrSt0ZIdNXi0AMouj1RMm2neA1e-wPNF4.KBZuGj3BJaMYf4qVMBY4tY0l34m5dFWv5fPp8fMKnT0&dib_tag=se&keywords=0.91%2Binch%2Boled%2Bdisplay&qid=1782464166&sprefix=0%2B91%2Binch%2Boled%2Bdisplay%2Caps%2C126&sr=8-8&th=1
PCB,1,$12.30,https://github.com/penguinissus/musepad/tree/main/production,,,,
Case Bottom,1,$0.00,https://github.com/penguinissus/musepad/blob/main/3d%20models%20prints/Case%20Bottom.step,,,,
Case Top,1,$0.00,https://github.com/penguinissus/musepad/blob/main/3d%20models%20prints/Case%20Top.step,,,,
Keycap normal size,21,$0.00,https://github.com/penguinissus/musepad/blob/main/3d%20models%20prints/Keycap%201x1.step,,,,
Keycap white tall,7,$0.00,https://github.com/penguinissus/musepad/blob/main/3d%20models%20prints/Keycap%201x1.5.step,,,,
Keycap black tall,1,$0.00,https://github.com/penguinissus/musepad/blob/main/3d%20models%20prints/Keycap%201x1.5%20Black.step,,,,
Keycap black fat,4,$0.00,https://github.com/penguinissus/musepad/blob/main/3d%20models%20prints/Keycap%201.5x1.5%20Black.step,,,,
,,,,,,,
Total price,$35.32,,,,,,
