Designator,Mid X,Mid Y,Rotation,Layer
A1,76.88,-149.36,90.0,top
D1,108.44,-140.75,0.0,top
D10,147.69,-140.75,0.0,top
D11,167.31,-140.75,0.0,top
D12,196.56,-140.75,0.0,top
D13,206.31,-138.25,0.0,top
D15,108.31,-135.75,0.0,top
D16,128.06,-140.75,0.0,top
D17,147.56,-138.25,0.0,top
D18,177.06,-140.75,0.0,top
D19,186.81,-140.75,0.0,top
D2,137.81,-140.75,0.0,top
D20,206.31,-140.75,0.0,top
D22,118.19,-140.75,0.0,top
D23,128.06,-135.75,0.0,top
D24,157.56,-138.25,0.0,top
D25,177.06,-138.25,0.0,top
D26,186.81,-138.25,0.0,top
D29,118.06,-138.25,0.0,top
D3,157.56,-140.75,0.0,top
D30,128.06,-138.25,0.0,top
D31,147.56,-135.75,0.0,top
D32,167.31,-135.75,0.0,top
D33,196.56,-138.25,0.0,top
D36,118.06,-135.75,0.0,top
D37,137.81,-135.75,0.0,top
D38,157.31,-135.75,0.0,top
D39,177.06,-135.75,0.0,top
D4,167.31,-138.25,0.0,top
D40,196.56,-135.75,0.0,top
D5,186.81,-135.75,0.0,top
D6,206.31,-135.75,0.0,top
D8,108.31,-138.25,0.0,top
D9,137.81,-138.25,0.0,top
J1,106.5,-152.94,0.0,top
SW1,60.67,-168.554,0.0,top
SW10,174.97,-225.704,0.0,top
SW11,194.02,-225.704,0.0,top
SW12,213.07,-225.704,0.0,top
SW13,213.07,-206.654,0.0,top
SW14,213.07,-187.604,0.0,top
SW15,213.07,-168.554,0.0,top
SW16,213.07,-149.504,0.0,top
SW17,194.02,-149.504,0.0,top
SW18,174.97,-149.504,0.0,top
SW19,155.92,-149.504,0.0,top
SW2,60.67,-187.604,0.0,top
SW20,136.87,-149.504,0.0,top
SW21,117.82,-149.504,0.0,top
SW22,113.0575,-173.3165,0.0,top
SW23,84.4825,-173.3165,0.0,top
SW24,117.82,-201.8915,0.0,top
SW25,136.87,-201.8915,0.0,top
SW26,155.92,-201.8915,0.0,top
SW27,79.72,-201.8915,0.0,top
SW28,98.77,-201.8915,0.0,top
SW29,174.97,-201.8915,0.0,top
SW3,60.67,-206.654,0.0,top
SW30,194.02,-201.8915,0.0,top
SW31,141.6325,-173.3165,0.0,top
SW32,165.445,-173.3165,0.0,top
SW33,189.2575,-173.3165,0.0,top
SW4,98.77,-225.704,0.0,top
SW44,217.75,-138.25,0.0,top
SW5,79.72,-225.704,0.0,top
SW6,60.67,-225.704,0.0,top
SW7,117.82,-225.704,0.0,top
SW8,136.87,-225.704,0.0,top
SW9,155.92,-225.704,0.0,top
